ideas = {
	political_advisor_head_of_state = {
		minister_WRK_Bassam_Zogby = { name = minister_WRK_Bassam_Zogby default = no cost = 75 picture = generic_political_advisor_asia_2 allowed = { tag = WRK } visible = { tag = WRK } allowed_to_remove = { } traits = { minister_trait_WRK_edu_factory_schools } }
		minister_PIV_Semyon_Aprel = { name = minister_PIV_Semyon_Aprel default = no cost = 75 picture = generic_political_advisor_arab_1 allowed = { tag = PIV } visible = { tag = PIV } allowed_to_remove = { } traits = { minister_trait_PIV_edu_loud_lectures } }
		minister_RUS_Dima_Rask = { name = minister_RUS_Dima_Rask default = no cost = 75 picture = generic_political_advisor_arab_2 allowed = { tag = RUS } visible = { tag = RUS } allowed_to_remove = { } traits = { minister_trait_RUS_edu_border_institutes } }
		minister_NAM_Fedot_Mir = { name = minister_NAM_Fedot_Mir default = no cost = 75 picture = generic_political_advisor_arab_3 allowed = { tag = NAM } visible = { tag = NAM } allowed_to_remove = { } traits = { minister_trait_NAM_edu_registry_schools } }
		minister_VAD_Lidia_Takt = { name = minister_VAD_Lidia_Takt default = no cost = 75 picture = generic_political_advisor_europe_1 allowed = { tag = VAD } visible = { tag = VAD } allowed_to_remove = { } traits = { minister_trait_VAD_edu_cadet_lectures } }
		minister_ROM_Stefan_Lektor = { name = minister_ROM_Stefan_Lektor default = no cost = 75 picture = generic_political_advisor_europe_2 allowed = { tag = ROM } visible = { tag = ROM } allowed_to_remove = { } traits = { minister_trait_ROM_edu_staff_college } }
		minister_SOL_Teo_Sagan = { name = minister_SOL_Teo_Sagan default = no cost = 75 picture = generic_political_advisor_europe_3 allowed = { tag = SOL } visible = { tag = SOL } allowed_to_remove = { } traits = { minister_trait_SOL_edu_observatories } }
		minister_TRU_Sabina_Knox = { name = minister_TRU_Sabina_Knox default = no cost = 75 picture = generic_political_advisor_europe_4 allowed = { tag = TRU } visible = { tag = TRU } allowed_to_remove = { } traits = { minister_trait_TRU_edu_plain_curriculum } }
		minister_ZAO_Edem_Kov = { name = minister_ZAO_Edem_Kov default = no cost = 75 picture = generic_political_advisor_europe_5 allowed = { tag = ZAO } visible = { tag = ZAO } allowed_to_remove = { } traits = { minister_trait_ZAO_edu_zone_schools } }
		minister_VLA_Lina_Greb = { name = minister_VLA_Lina_Greb default = no cost = 75 picture = generic_political_advisor_europe_6 allowed = { tag = VLA } visible = { tag = VLA } allowed_to_remove = { } traits = { minister_trait_VLA_edu_workshop_classes } }
		minister_PWR_Lev_Crag = { name = minister_PWR_Lev_Crag default = no cost = 75 picture = generic_political_advisor_south_america_1 allowed = { tag = PWR } visible = { tag = PWR } allowed_to_remove = { } traits = { minister_trait_PWR_edu_ruin_tutors } }
		minister_DAN_Osip_Prav = { name = minister_DAN_Osip_Prav default = no cost = 75 picture = generic_political_advisor_south_america_2 allowed = { tag = DAN } visible = { tag = DAN } allowed_to_remove = { } traits = { minister_trait_DAN_edu_public_reading } }
		minister_NOD_Iris_Noll = { name = minister_NOD_Iris_Noll default = no cost = 75 picture = generic_political_advisor_asia_1 allowed = { tag = NOD } visible = { tag = NOD } allowed_to_remove = { } traits = { minister_trait_NOD_edu_revelry_schools } }
		minister_EFL_Gleb_Ruun = { name = minister_EFL_Gleb_Ruun default = no cost = 75 picture = generic_political_advisor_asia_2 allowed = { tag = EFL } visible = { tag = EFL } allowed_to_remove = { } traits = { minister_trait_EFL_edu_clean_labs } }
		minister_COF_Oren_Rune = { name = minister_COF_Oren_Rune default = no cost = 75 picture = generic_political_advisor_arab_1 allowed = { tag = COF } visible = { tag = COF } allowed_to_remove = { } traits = { minister_trait_COF_edu_old_chants } }
		minister_BJK_Nesk_Vaird = { name = minister_BJK_Nesk_Vaird default = no cost = 75 picture = generic_political_advisor_arab_2 allowed = { tag = BJK } visible = { tag = BJK } allowed_to_remove = { } traits = { minister_trait_BJK_edu_court_tutors } }
		minister_BLD_Fedor_Lane = { name = minister_BLD_Fedor_Lane default = no cost = 75 picture = generic_political_advisor_arab_3 allowed = { tag = BLD } visible = { tag = BLD } allowed_to_remove = { } traits = { minister_trait_BLD_edu_ducal_archives } }
		minister_BHG_Lutz_Pater = { name = minister_BHG_Lutz_Pater default = no cost = 75 picture = generic_political_advisor_europe_1 allowed = { tag = BHG } visible = { tag = BHG } allowed_to_remove = { } traits = { minister_trait_BHG_edu_county_scribes } }
		minister_TFF_Jules_Ember = { name = minister_TFF_Jules_Ember default = no cost = 75 picture = generic_political_advisor_europe_2 allowed = { tag = TFF } visible = { tag = TFF } allowed_to_remove = { } traits = { minister_trait_TFF_edu_open_prints } }
		minister_BGT_Konrad_Vell = { name = minister_BGT_Konrad_Vell default = no cost = 75 picture = generic_political_advisor_europe_3 allowed = { tag = BGT } visible = { tag = BGT } allowed_to_remove = { } traits = { minister_trait_BGT_edu_lancer_maps } }
		minister_BBV_Hartwig_Lern = { name = minister_BBV_Hartwig_Lern default = no cost = 75 picture = generic_political_advisor_europe_4 allowed = { tag = BBV } visible = { tag = BBV } allowed_to_remove = { } traits = { minister_trait_BBV_edu_baronial_lessons } }
		minister_BCM_Felix_Cod = { name = minister_BCM_Felix_Cod default = no cost = 75 picture = generic_political_advisor_europe_5 allowed = { tag = BCM } visible = { tag = BCM } allowed_to_remove = { } traits = { minister_trait_BCM_edu_tollhouse_records } }
		minister_YPR_Vora_Pell = { name = minister_YPR_Vora_Pell default = no cost = 75 picture = generic_political_advisor_europe_6 allowed = { tag = YPR } visible = { tag = YPR } allowed_to_remove = { } traits = { minister_trait_YPR_edu_council_archives } }
		minister_BTL_Aron_Beck = { name = minister_BTL_Aron_Beck default = no cost = 75 picture = generic_political_advisor_south_america_1 allowed = { tag = BTL } visible = { tag = BTL } allowed_to_remove = { } traits = { minister_trait_BTL_edu_exact_syllabi } }
	}

	political_advisor_chief_of_intelligence = {
		minister_STP_Cyan_Crowe = { name = minister_STP_Cyan_Crowe default = no cost = 75 picture = minister_STP_Cyan_Crowe allowed = { tag = STP } visible = { tag = STP } allowed_to_remove = { } traits = { minister_trait_STP_int_court_whispers } }
		minister_VAL_Sava_Murat = { name = minister_VAL_Sava_Murat default = no cost = 75 picture = generic_political_advisor_south_america_2 allowed = { tag = VAL } visible = { tag = VAL } allowed_to_remove = { } traits = { minister_trait_VAL_int_contract_spies } }
		minister_IVN_Alina_Sek = { name = minister_IVN_Alina_Sek default = no cost = 75 picture = generic_political_advisor_asia_1 allowed = { tag = IVN } visible = { tag = IVN } allowed_to_remove = { } traits = { minister_trait_IVN_int_locked_files } }
		minister_WIT_Rina_Mist = { name = minister_WIT_Rina_Mist default = no cost = 75 picture = generic_political_advisor_asia_2 allowed = { tag = WIT } visible = { tag = WIT } allowed_to_remove = { } traits = { minister_trait_WIT_int_border_runners } }
		minister_WRK_Reginald_Silver = { name = minister_WRK_Reginald_Silver default = no cost = 75 picture = generic_political_advisor_arab_1 allowed = { tag = WRK } visible = { tag = WRK } allowed_to_remove = { } traits = { minister_trait_WRK_int_internal_watch } }
		minister_PIV_Vika_Shtil = { name = minister_PIV_Vika_Shtil default = no cost = 75 picture = generic_political_advisor_arab_2 allowed = { tag = PIV } visible = { tag = PIV } allowed_to_remove = { } traits = { minister_trait_PIV_int_cellar_informants } }
		minister_RUS_Lera_Ton = { name = minister_RUS_Lera_Ton default = no cost = 75 picture = generic_political_advisor_arab_3 allowed = { tag = RUS } visible = { tag = RUS } allowed_to_remove = { } traits = { minister_trait_RUS_int_frost_ciphers } }
		minister_NAM_Zina_Tain = { name = minister_NAM_Zina_Tain default = no cost = 75 picture = generic_political_advisor_europe_1 allowed = { tag = NAM } visible = { tag = NAM } allowed_to_remove = { } traits = { minister_trait_NAM_int_registry_spider } }
		minister_VAD_Orest_Nox = { name = minister_VAD_Orest_Nox default = no cost = 75 picture = generic_political_advisor_europe_2 allowed = { tag = VAD } visible = { tag = VAD } allowed_to_remove = { } traits = { minister_trait_VAD_int_forward_cells } }
		minister_ROM_Nora_Veil = { name = minister_ROM_Nora_Veil default = no cost = 75 picture = generic_political_advisor_europe_3 allowed = { tag = ROM } visible = { tag = ROM } allowed_to_remove = { } traits = { minister_trait_ROM_int_archive_eyes } }
		minister_SOL_Mira_Shad = { name = minister_SOL_Mira_Shad default = no cost = 75 picture = generic_political_advisor_europe_4 allowed = { tag = SOL } visible = { tag = SOL } allowed_to_remove = { } traits = { minister_trait_SOL_int_sunlit_network } }
		minister_TRU_Cyril_Finch = { name = minister_TRU_Cyril_Finch default = no cost = 75 picture = generic_political_advisor_europe_5 allowed = { tag = TRU } visible = { tag = TRU } allowed_to_remove = { } traits = { minister_trait_TRU_int_plainclothes } }
		minister_ZAO_Nabil_Shade = { name = minister_ZAO_Nabil_Shade default = no cost = 75 picture = generic_political_advisor_europe_6 allowed = { tag = ZAO } visible = { tag = ZAO } allowed_to_remove = { } traits = { minister_trait_ZAO_int_checkpoint_web } }
		minister_VLA_Yan_Sern = { name = minister_VLA_Yan_Sern default = no cost = 75 picture = generic_political_advisor_south_america_1 allowed = { tag = VLA } visible = { tag = VLA } allowed_to_remove = { } traits = { minister_trait_VLA_int_factory_listeners } }
		minister_PWR_Nika_Pale = { name = minister_PWR_Nika_Pale default = no cost = 75 picture = generic_political_advisor_south_america_2 allowed = { tag = PWR } visible = { tag = PWR } allowed_to_remove = { } traits = { minister_trait_PWR_int_ruin_scavengers } }
		minister_DAN_Runa_Sled = { name = minister_DAN_Runa_Sled default = no cost = 75 picture = generic_political_advisor_asia_1 allowed = { tag = DAN } visible = { tag = DAN } allowed_to_remove = { } traits = { minister_trait_DAN_int_collective_watch } }
		minister_NOD_Kain_Voss = { name = minister_NOD_Kain_Voss default = no cost = 75 picture = generic_political_advisor_asia_2 allowed = { tag = NOD } visible = { tag = NOD } allowed_to_remove = { } traits = { minister_trait_NOD_int_masked_revelers } }
		minister_EFL_Nera_Flux = { name = minister_EFL_Nera_Flux default = no cost = 75 picture = generic_political_advisor_arab_1 allowed = { tag = EFL } visible = { tag = EFL } allowed_to_remove = { } traits = { minister_trait_EFL_int_clear_signals } }
		minister_COF_Nyx_Hollow = { name = minister_COF_Nyx_Hollow default = no cost = 75 picture = generic_political_advisor_arab_2 allowed = { tag = COF } visible = { tag = COF } allowed_to_remove = { } traits = { minister_trait_COF_int_root_network } }
		minister_BJK_Varr_Shade = { name = minister_BJK_Varr_Shade default = no cost = 75 picture = generic_political_advisor_arab_3 allowed = { tag = BJK } visible = { tag = BJK } allowed_to_remove = { } traits = { minister_trait_BJK_int_court_shadows } }
		minister_BLD_Junn_Sable = { name = minister_BLD_Junn_Sable default = no cost = 75 picture = generic_political_advisor_europe_1 allowed = { tag = BLD } visible = { tag = BLD } allowed_to_remove = { } traits = { minister_trait_BLD_int_ducal_whispers } }
		minister_BHG_Ines_Spyr = { name = minister_BHG_Ines_Spyr default = no cost = 75 picture = generic_political_advisor_europe_2 allowed = { tag = BHG } visible = { tag = BHG } allowed_to_remove = { } traits = { minister_trait_BHG_int_county_informers } }
		minister_TFF_Trace_Gray = { name = minister_TFF_Trace_Gray default = no cost = 75 picture = generic_political_advisor_europe_3 allowed = { tag = TFF } visible = { tag = TFF } allowed_to_remove = { } traits = { minister_trait_TFF_int_free_agents } }
		minister_BGT_Silke_Rook = { name = minister_BGT_Silke_Rook default = no cost = 75 picture = generic_political_advisor_europe_4 allowed = { tag = BGT } visible = { tag = BGT } allowed_to_remove = { } traits = { minister_trait_BGT_int_lancer_scouts } }
		minister_BBV_Senta_Nacht = { name = minister_BBV_Senta_Nacht default = no cost = 75 picture = generic_political_advisor_europe_5 allowed = { tag = BBV } visible = { tag = BBV } allowed_to_remove = { } traits = { minister_trait_BBV_int_baronial_informers } }
		minister_BCM_Irma_Mask = { name = minister_BCM_Irma_Mask default = no cost = 75 picture = generic_political_advisor_europe_6 allowed = { tag = BCM } visible = { tag = BCM } allowed_to_remove = { } traits = { minister_trait_BCM_int_toll_spies } }
		minister_YPR_Qadir_Noll = { name = minister_YPR_Qadir_Noll default = no cost = 75 picture = generic_political_advisor_south_america_1 allowed = { tag = YPR } visible = { tag = YPR } allowed_to_remove = { } traits = { minister_trait_YPR_int_council_listeners } }
		minister_BTL_Soren_Ilt = { name = minister_BTL_Soren_Ilt default = no cost = 75 picture = generic_political_advisor_south_america_2 allowed = { tag = BTL } visible = { tag = BTL } allowed_to_remove = { } traits = { minister_trait_BTL_int_orderly_files } }
	}
}
